iter	Passed	Remaining
285	5189	7512
286	5208	7494
287	5225	7475
288	5243	7457
289	5260	7437
290	5278	7418
291	5296	7400
292	5313	7381
293	5331	7362
294	5349	7344
295	5368	7327
296	5385	7308
297	5403	7288
298	5419	7268
299	5436	7248
300	5454	7230
301	5471	7211
302	5489	7193
303	5506	7173
304	5523	7153
305	5541	7135
306	5559	7116
307	5576	7097
308	5596	7081
309	5613	7062
310	5630	7043
311	5649	7025
312	5666	7006
313	5684	6987
314	5701	6969
315	5719	6950
316	5738	6932
317	5755	6913
318	5773	6896
319	5792	6878
320	5809	6858
321	5827	6841
322	5846	6823
323	5864	6806
324	5882	6787
325	5899	6767
326	5916	6748
327	5934	6730
328	5952	6712
329	5970	6694
330	5989	6677
331	6007	6658
332	6024	6639
333	6042	6621
334	6062	6604
335	6080	6587
336	6097	6568
337	6115	6549
338	6131	6529
339	6149	6511
340	6168	6493
341	6185	6475
342	6203	6456
343	6219	6436
344	6237	6418
345	6256	6400
346	6274	6383
347	6293	6365
348	6311	6347
349	6328	6328
350	6346	6310
351	6365	6293
352	6384	6276
353	6403	6258
354	6421	6240
355	6438	6221
356	6456	6203
357	6473	6183
358	6491	6165
359	6508	6147
360	6526	6128
361	6543	6109
362	6561	6091
363	6578	6072
364	6596	6053
365	6613	6035
366	6631	6016
367	6649	5998
368	6667	5980
369	6685	5963
370	6704	5945
371	6720	5925
372	6739	5907
373	6756	5889
374	6775	5871
375	6793	5853
376	6809	5833
377	6826	5815
378	6844	5796
379	6862	5778
380	6880	5760
381	6899	5743
382	6918	5726
383	6938	5709
384	6957	5692
385	6975	5674
386	6993	5656
387	7010	5637
388	7028	5619
389	7046	5601
390	7065	5583
391	7083	5565
392	7101	5547
393	7118	5528
394	7135	5509
395	7153	5491
396	7171	5473
397	7189	5455
398	7206	5436
399	7224	5418
400	7241	5399
401	7258	5380
402	7274	5360
403	7292	5343
404	7310	5324
405	7328	5306
406	7346	5288
407	7364	5270
408	7383	5253
409	7400	5234
410	7418	5216
411	7437	5198
412	7454	5180
413	7472	5162
414	7490	5143
415	7507	5125
416	7525	5107
417	7543	5088
418	7561	5070
419	7578	5052
420	7597	5034
421	7614	5015
422	7631	4997
423	7648	4978
424	7665	4960
425	7683	4941
426	7700	4923
427	7718	4905
428	7736	4887
429	7753	4868
430	7773	4851
431	7790	4832
432	7808	4814
433	7826	4796
434	7843	4778
435	7861	4760
436	7879	4742
437	7897	4724
438	7915	4706
439	7933	4688
440	7951	4670
441	7969	4651
442	7987	4633
443	8005	4615
444	8022	4597
445	8040	4579
446	8057	4560
447	8075	4542
448	8092	4523
449	8110	4505
450	8127	4487
451	8144	4468
452	8162	4450
453	8181	4433
454	8198	4414
455	8216	4396
456	8233	4378
457	8251	4360
458	8269	4342
459	8289	4324
460	8309	4308
461	8332	4292
462	8355	4276
463	8376	4260
464	8396	4243
465	8416	4226
466	8434	4208
467	8453	4190
468	8470	4172
469	8488	4154
470	8504	4135
471	8522	4116
472	8540	4098
473	8558	4080
474	8575	4062
475	8592	4043
476	8610	4025
477	8628	4007
478	8644	3988
479	8663	3970
480	8680	3952
481	8697	3933
482	8716	3916
483	8734	3898
484	8752	3879
485	8770	3861
486	8789	3844
487	8807	3826
488	8827	3808
489	8844	3790
490	8863	3772
491	8882	3755
492	8900	3737
493	8916	3718
494	8933	3699
495	8952	3681
496	8971	3664
497	8989	3646
498	9007	3628
499	9026	3610
500	9043	3592
501	9061	3573
502	9080	3556
503	9098	3538
504	9116	3520
505	9133	3501
506	9151	3483
507	9169	3465
508	9186	3447
509	9203	3428
510	9221	3410
511	9238	3392
512	9255	3373
513	9273	3355
514	9291	3337
515	9308	3319
516	9325	3301
517	9344	3283
518	9362	3265
519	9379	3246
520	9398	3228
521	9416	3210
522	9433	3192
523	9451	3174
524	9467	3155
525	9485	3137
526	9503	3119
527	9521	3101
528	9538	3083
529	9556	3065
530	9575	3047
531	9593	3029
532	9610	3011
533	9629	2993
534	9647	2975
535	9665	2957
536	9682	2939
537	9700	2920
538	9717	2902
539	9735	2884
540	9751	2866
541	9769	2847
542	9787	2829
543	9805	2811
544	9823	2793
545	9841	2775
546	9860	2757
547	9876	2739
548	9893	2721
549	9910	2702
550	9928	2684
551	9946	2666
552	9963	2648
553	9982	2630
554	10000	2612
555	10019	2594
556	10036	2576
557	10052	2558
558	10071	2540
559	10091	2522
560	10110	2504
561	10128	2486
562	10146	2469
563	10164	2451
564	10183	2433
565	10202	2415
566	10222	2397
567	10242	2380
568	10264	2363
569	10282	2345
570	10300	2327
571	10317	2308
572	10336	2290
573	10354	2272
574	10374	2255
575	10393	2237
576	10410	2219
577	10429	2201
578	10445	2182
579	10463	2164
580	10482	2146
581	10500	2128
582	10518	2110
583	10537	2093
584	10555	2074
585	10574	2057
586	10593	2039
587	10611	2021
588	10630	2003
589	10648	1985
590	10665	1967
591	10685	1949
592	10702	1931
593	10722	1913
594	10742	1895
595	10760	1877
596	10778	1859
597	10795	1841
598	10812	1823
599	10829	1804
600	10847	1786
601	10865	1768
602	10885	1751
603	10906	1733
604	10926	1715
605	10946	1697
606	10963	1679
607	10981	1661
608	10999	1643
609	11017	1625
610	11035	1607
611	11052	1589
612	11071	1571
613	11089	1553
614	11109	1535
615	11128	1517
616	11148	1499
617	11167	1481
618	11186	1463
619	11203	1445
620	11221	1427
621	11238	1409
622	11255	1391
623	11273	1372
624	11291	1354
625	11307	1336
626	11324	1318
627	11343	1300
628	11361	1282
629	11380	1264
630	11401	1246
631	11420	1228
632	11438	1210
633	11458	1192
634	11478	1174
635	11498	1157
636	11518	1139
637	11539	1121
638	11561	1103
639	11579	1085
640	11604	1068
641	11621	1049
642	11651	1032
643	11678	1015
644	11700	997
645	11723	979
646	11743	961
647	11761	943
648	11780	925
649	11799	907
650	11818	889
651	11839	871
652	11856	853
653	11872	835
654	11891	817
655	11910	798
656	11927	780
657	11945	762
658	11963	744
659	11981	726
660	12000	708
661	12018	689
662	12037	671
663	12057	653
664	12076	635
665	12094	617
666	12114	599
667	12134	581
668	12154	563
669	12173	545
670	12191	526
671	12212	508
672	12233	490
673	12252	472
674	12270	454
675	12287	436
676	12305	418
677	12323	399
678	12342	381
679	12362	363
680	12380	345
681	12399	327
682	12419	309
683	12437	290
684	12456	272
685	12475	254
686	12493	236
687	12511	218
688	12530	200
689	12549	181
690	12567	163
691	12583	145
692	12600	127
693	12617	109
694	12635	90
695	12653	72
696	12670	54
697	12687	36
698	12705	18
699	12723	0
