iter	Logloss
0	0.6507483298
1	0.6158694881
2	0.587023743
3	0.5626262946
4	0.5428800547
5	0.5276177163
6	0.5141540615
7	0.5029657893
8	0.4937098127
9	0.4852726734
10	0.4789087213
11	0.4731882057
12	0.4694675541
13	0.4650156108
14	0.4608115849
15	0.4587132075
16	0.4552852281
17	0.4527336637
18	0.4503709174
19	0.4487601832
20	0.4467029457
21	0.4447493867
22	0.4433807476
23	0.4419813781
24	0.4410424066
25	0.4397987944
26	0.4387736443
27	0.4378304987
28	0.4371066386
29	0.4363565323
30	0.4356745938
31	0.4349966889
32	0.4342652875
33	0.4337007763
34	0.4332458349
35	0.432849031
36	0.4324571116
37	0.4321340191
38	0.4317111416
39	0.4313579312
40	0.4309398239
41	0.4305928725
42	0.4302290586
43	0.4299002958
44	0.429671056
45	0.4293606037
46	0.4291383193
47	0.4289671282
48	0.4287412795
49	0.4285234631
50	0.4282937111
51	0.4280662113
52	0.4278582611
53	0.4276694937
54	0.4274827976
55	0.4273488416
56	0.4272074777
57	0.4270319222
58	0.4269081463
59	0.4267778408
60	0.4266787298
61	0.4265699978
62	0.4264798402
63	0.42631939
64	0.4261967901
65	0.4261011963
66	0.4259688549
67	0.425865834
68	0.4257560021
69	0.4256712009
70	0.42557752
71	0.4254462406
72	0.4253455863
73	0.4252744192
74	0.4252144586
75	0.4251735772
76	0.425087727
77	0.424966762
78	0.4248971746
79	0.4248062368
80	0.4247568644
81	0.4246838973
82	0.4246133679
83	0.4245309872
84	0.4244476948
85	0.4244286616
86	0.4243652772
87	0.4243155201
88	0.4242414142
89	0.4241978972
90	0.4241125001
91	0.4240137499
92	0.4239653217
93	0.4239216805
94	0.4238832965
95	0.4237830805
96	0.4237270234
97	0.4236280519
98	0.4235699116
99	0.4235139591
100	0.42346574
101	0.4234136834
102	0.4233432611
103	0.423254
104	0.4232059083
105	0.4231650726
106	0.4231198615
107	0.423071797
108	0.423054976
109	0.4230039353
110	0.4229643356
111	0.4228861863
112	0.4228393948
113	0.4228278888
114	0.4227896772
115	0.4227528898
116	0.4227118831
117	0.4226714121
118	0.4226262861
119	0.4225867787
120	0.4225506644
121	0.4225273621
122	0.4224779339
123	0.4224489898
124	0.4224182337
125	0.4223711416
126	0.4223419315
127	0.4222995674
128	0.4222770951
129	0.4222302112
130	0.4221558586
131	0.4221099231
132	0.4220540721
133	0.4220222475
134	0.4219853225
135	0.4219643683
136	0.4219227835
137	0.4218916372
138	0.421859449
139	0.4218490817
140	0.4218031389
141	0.421759674
142	0.4217163644
143	0.4216897215
144	0.4216522935
145	0.4216298249
146	0.4215918387
147	0.4215578484
148	0.4215428741
149	0.4214973568
150	0.4214230977
151	0.4214068939
152	0.4213855333
153	0.421365425
154	0.421343479
155	0.4213131086
156	0.4212804696
157	0.421250776
