iter	Logloss
158	0.4212377567
159	0.4212036718
160	0.4211981739
161	0.4211678945
162	0.4211434477
163	0.4211199655
164	0.4210840401
165	0.4210664849
166	0.4210273641
167	0.4209732537
168	0.4209351801
169	0.4208733355
170	0.4208472104
171	0.4208257282
172	0.4207976937
173	0.4207660941
174	0.4207518109
175	0.4207308985
176	0.4207178013
177	0.4206950992
178	0.4206654399
179	0.4206402519
180	0.4206111781
181	0.4205760641
182	0.4205527792
183	0.4205268149
184	0.4205200579
185	0.4205053085
186	0.4204705954
187	0.4204535228
188	0.4204370043
189	0.4204050001
190	0.4203809972
191	0.420341157
192	0.4203185176
193	0.4203019333
194	0.4202692241
195	0.4202288956
196	0.4202092717
197	0.4201771385
198	0.4201559328
199	0.4201532715
200	0.4201447987
201	0.4201074723
202	0.4200949649
203	0.4200766706
204	0.4200662439
205	0.4200518799
206	0.4200271227
207	0.4200047166
208	0.419986351
209	0.4199633944
210	0.4199445595
211	0.4199077176
212	0.4198937659
213	0.4198801098
214	0.4198682312
215	0.4198420469
216	0.4198222252
217	0.4198027174
218	0.4197888156
219	0.4197640807
220	0.4197596895
221	0.4197467263
222	0.419726663
223	0.41970495
224	0.4196930458
225	0.4196661431
226	0.419624864
227	0.4195942873
228	0.4195668621
229	0.4195429962
230	0.4195095053
231	0.4194870882
232	0.4194843506
233	0.4194557991
234	0.419436234
235	0.419407348
236	0.4193869611
237	0.4193599209
238	0.4193310668
239	0.4192954832
240	0.419265418
241	0.4192474941
242	0.4192056694
243	0.4191892903
244	0.4191640123
245	0.4191441147
246	0.4191247347
247	0.4191082343
248	0.4190808818
249	0.4190488917
250	0.4190262076
251	0.4189971449
252	0.4189714536
253	0.4189520776
254	0.4189224055
255	0.4188917917
256	0.4188701482
257	0.4188408758
258	0.4188059042
259	0.4187929123
260	0.4187652629
261	0.4187420501
262	0.4187106859
263	0.4186781267
264	0.4186580618
265	0.4186374143
266	0.4186222421
267	0.4186062493
268	0.4185906011
269	0.4185665632
270	0.4185503119
271	0.4185196236
272	0.4184949311
273	0.4184772453
274	0.4184577103
275	0.4184269556
276	0.4183863295
277	0.4183635597
278	0.4183307004
279	0.418289472
280	0.4182751954
281	0.4182485428
282	0.4182312147
283	0.4182084724
284	0.4181863321
285	0.4181594899
286	0.4181192057
287	0.418090597
288	0.418062161
289	0.4180479466
290	0.4180091486
291	0.4179704037
292	0.4179539624
293	0.4179268279
294	0.4179066626
295	0.4178809274
296	0.4178638714
297	0.4178477726
298	0.4178328711
299	0.4178085194
300	0.4177722255
301	0.4177493371
302	0.4177182822
303	0.4177001107
304	0.4176862866
305	0.4176660965
306	0.4176554776
307	0.4176315135
308	0.4175936761
309	0.4175728895
310	0.4175490958
311	0.4175107751
312	0.4174959506
313	0.4174662248
314	0.417436403
315	0.417413393
316	0.4173865974
317	0.4173566129
318	0.4173233613
319	0.4172986593
320	0.4172953739
321	0.4172628658
322	0.4172265952
323	0.417196236
324	0.4171735043
325	0.4171631879
326	0.4171434267
327	0.4171213863
328	0.4170903091
329	0.4170610083
330	0.4170365937
331	0.417014117
332	0.4169904945
333	0.4169678181
334	0.4169465802
335	0.4169215953
336	0.4168997219
337	0.4168725907
338	0.4168692688
339	0.4168464552
340	0.4168197568
341	0.4167970622
342	0.4167737319
343	0.4167499643
344	0.4167281857
345	0.416696783
346	0.4166701926
347	0.4166516089
348	0.4166339966
349	0.4166145436
350	0.4165908779
351	0.4165722527
352	0.4165484705
353	0.4165277071
354	0.4165024209
355	0.4164831941
356	0.4164494276
357	0.4164463175
358	0.416428938
359	0.4164049366
360	0.4163809309
361	0.4163628869
362	0.4163360847
363	0.416319138
364	0.416299594
365	0.4162737234
366	0.4162544461
367	0.4162230562
368	0.4162032489
369	0.4161670847
370	0.4161422391
371	0.4161389903
372	0.4161060717
373	0.4160883854
374	0.4160641069
375	0.4160357016
376	0.4160180338
377	0.41599339
378	0.4159776207
379	0.4159642415
380	0.4159302488
381	0.415912734
382	0.4158917994
383	0.4158688058
384	0.4158403276
385	0.4158232544
386	0.4158037623
387	0.4158012216
388	0.4157773041
389	0.4157566051
390	0.415731465
391	0.4157147528
392	0.4156977237
393	0.4156797932
394	0.4156548454
395	0.4156326949
396	0.4156142861
397	0.4155965035
398	0.4155801971
399	0.4155654383
400	0.4155459928
401	0.4155255872
402	0.4155234006
403	0.4155018315
404	0.4154713869
405	0.415450623
406	0.4154295925
407	0.415410895
408	0.4153867952
409	0.4153615559
410	0.4153421067
411	0.4153102065
412	0.4152958882
413	0.4152741525
414	0.4152566602
415	0.4152340143
416	0.4152137043
417	0.4151929363
418	0.4151708019
419	0.4151547181
420	0.4151300954
421	0.4151091563
422	0.4150998989
423	0.4150862169
424	0.4150810846
425	0.415063437
426	0.4150430702
427	0.4150268449
428	0.4150066693
429	0.4149923889
430	0.4149705994
431	0.4149683507
432	0.4149489608
433	0.4149323176
434	0.4149134261
435	0.4148938547
436	0.4148704769
437	0.4148480449
438	0.4148259848
439	0.4148018509
440	0.4147744539
441	0.4147698327
442	0.4147676206
443	0.4147472442
444	0.4147447291
445	0.4147276303
446	0.4147132509
447	0.4146936878
448	0.4146813092
449	0.414657708
450	0.4146436061
451	0.4146195495
452	0.4146012486
453	0.4145715494
454	0.4145537311
455	0.4145380015
456	0.4145077834
457	0.4144894582
458	0.4144662489
459	0.4144461817
460	0.4144314926
461	0.4144147237
462	0.4143803561
463	0.4143657326
464	0.4143480982
465	0.4143280354
466	0.4143126089
467	0.4142858403
468	0.4142732901
469	0.4142519773
470	0.4142501083
471	0.4142310164
472	0.4142135793
473	0.4142045371
474	0.4141865149
475	0.4141847371
476	0.41416466
477	0.4141432909
478	0.4141284628
479	0.4141048369
480	0.4140917172
481	0.4140895269
482	0.4140592416
483	0.4140406938
484	0.4140185506
485	0.4140072375
486	0.4139867769
487	0.4139745152
488	0.41394942
489	0.4139384438
490	0.4139198368
491	0.413898733
492	0.4138785355
493	0.4138772031
494	0.4138614589
495	0.4138443825
496	0.4138292149
497	0.4138106417
498	0.4137895786
499	0.4137746765
500	0.4137597895
501	0.4137465128
502	0.4137210294
503	0.4137052438
504	0.4136891896
505	0.4136713483
506	0.4136515163
507	0.4136480745
508	0.413628348
509	0.4136165389
510	0.4135989356
511	0.4135828659
512	0.4135806721
513	0.4135671326
514	0.4135505418
515	0.4135357833
516	0.413517279
517	0.4134882067
518	0.4134746927
519	0.4134726996
520	0.4134543306
521	0.413434064
522	0.4134143688
523	0.4133968433
524	0.4133946786
525	0.4133800486
526	0.4133584455
527	0.4133394712
528	0.4133259275
529	0.4133034552
530	0.4132757951
531	0.4132591372
532	0.413240975
533	0.4132183684
534	0.4131992464
535	0.4131800133
536	0.4131654554
537	0.413154453
538	0.4131387964
539	0.4131203148
540	0.4131189751
541	0.4131007302
542	0.4130787695
543	0.4130547131
544	0.4130367735
545	0.4130179763
546	0.4130022467
547	0.4130003595
548	0.4129991293
549	0.4129800236
550	0.4129621366
551	0.4129609502
552	0.4129499661
553	0.41293485
554	0.4129112103
555	0.4128897852
556	0.412877016
557	0.4128758515
558	0.4128507726
559	0.4128276913
560	0.4128145497
561	0.4128021598
562	0.4127875223
563	0.4127713835
564	0.412755135
565	0.4127404887
566	0.4127227741
567	0.4127106361
568	0.4126800932
569	0.4126721042
570	0.4126611087
571	0.4126602472
572	0.4126372833
573	0.4126358926
574	0.412620958
575	0.4126095988
576	0.4126088067
577	0.4125874008
578	0.4125857326
579	0.4125694887
580	0.4125489326
581	0.4125307241
582	0.41251371
583	0.4124963877
584	0.4124778967
585	0.4124571147
586	0.4124453417
587	0.4124250778
588	0.4124242966
589	0.4124078114
590	0.4124065191
591	0.4123955496
592	0.4123823285
593	0.4123664744
594	0.412355041
595	0.4123446408
596	0.4123438194
597	0.4123368764
598	0.4123361098
599	0.4123210886
600	0.4123082684
601	0.4122916332
602	0.4122683087
603	0.4122532345
604	0.412241524
605	0.4122158384
606	0.4122143015
607	0.412194414
608	0.4121789437
609	0.4121649585
610	0.41215515
611	0.4121539307
612	0.4121398255
613	0.412127315
614	0.4121117461
615	0.4121005968
616	0.412082768
617	0.4120666009
618	0.4120498347
619	0.4120357986
620	0.4120197479
621	0.4120190288
622	0.4120022919
623	0.4119848685
624	0.4119633482
625	0.4119623078
626	0.4119482183
627	0.4119214461
628	0.4119197487
629	0.4119035955
630	0.4118870794
631	0.4118716634
632	0.4118598799
633	0.4118592046
634	0.4118410678
635	0.4118274774
636	0.4118078938
637	0.4117932412
638	0.4117827062
639	0.4117812096
640	0.4117610699
641	0.4117610005
642	0.4117495855
643	0.4117481691
644	0.4117272235
645	0.4117149133
646	0.4117033194
647	0.4117027061
648	0.411691127
649	0.4116797667
650	0.4116650481
651	0.4116421889
652	0.4116411814
653	0.4116403492
654	0.4116174951
655	0.4116030145
656	0.4115949909
657	0.4115843428
658	0.4115719349
659	0.4115599214
660	0.4115402933
661	0.4115254427
662	0.4115077382
663	0.411492392
664	0.4114738153
665	0.411473202
666	0.4114583963
667	0.4114378987
668	0.4114176757
669	0.4114060383
670	0.4114056222
671	0.4113860986
672	0.411369657
673	0.4113583879
674	0.4113456158
675	0.411329021
676	0.4113140836
677	0.4112964887
678	0.4112818251
679	0.411268494
680	0.4112674683
681	0.4112573234
682	0.4112332358
683	0.4112223181
684	0.4112208068
685	0.4112005651
686	0.4111797688
687	0.4111617764
688	0.4111388729
689	0.4111272868
690	0.4111105051
691	0.4111098772
692	0.4110984842
693	0.4110875814
694	0.4110742059
695	0.4110727932
696	0.4110555275
697	0.411054885
698	0.4110399691
699	0.4110219589
